,course_title,course_organization,course_URL,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
0,Human Resource Management: HR for People Managers,University of Minnesota,https://www.coursera.org/specializations/human-resource-management,,4.8,Beginner,230k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/de/14dab0b33711e59d33114424704df2/IMG_8691-2036.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Human Resource Management: HR for People Managers by University of Minnesota
1,Human Resources Analytics,"University of California, Irvine",https://www.coursera.org/learn/human-resources-analytics,,4.6,Mixed,26k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a2/4523df3088487ca5a2519ab32642ef/HR-Analytics_CourseraGraphics_1200x1200.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"Human Resources Analytics by University of California, Irvine"
2,ICPM Certified Supervisor,Institute of Certified Professional Managers,https://www.coursera.org/professional-certificates/icpm-certified-supervisor,,4.7,Beginner,16k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/79/110578b50740eba1f4fbee8b16f294/cs_icon_logo_600_600_Coursera.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,ICPM Certified Supervisor by Institute of Certified Professional Managers
3,Executive Data Science,Johns Hopkins University,https://www.coursera.org/specializations/executive-data-science,,4.5,Beginner,230k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/eds-s12n/eds_thumbnail.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Executive Data Science by Johns Hopkins University
4,The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,https://www.coursera.org/learn/people-management,,4.6,Mixed,92k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e9/a802a0f66511e59d3853951d95b421/shutterstock_188617211.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"The Manager's Toolkit: A Practical Guide to Managing People at Work by University of London, Birkbeck, University of London"
5,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,https://www.coursera.org/learn/recruiting-hiring-onboarding-employees,,4.7,Mixed,85k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/40/6830008d5311e58a7379988e116de4/IMG_0389-1310.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
6,Hiring Practices,"University of California, Irvine",https://www.coursera.org/learn/hiring-practices,,4.8,Beginner,4.3k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b1/f69c093b794e50a5f0c843ef3b0ab0/Hiring-Practices_CourseraGraphics_1200x1200.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
7,Claves para Gestionar Personas,IESE Business School,https://www.coursera.org/learn/gestionar-personas,,4.8,Mixed,91k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/58/a495223b7c4e2089d5ab31e158ef8c/COURSERA-1200x1200-oct20-11.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
8,Sales Operations/Management,West Virginia University,https://www.coursera.org/specializations/sales-operations,,4.5,Beginner,19k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/40bfe0c80e11e89df2d7e5a3989ffe/SpecLogo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,Sales Operations/Management by West Virginia University
9,Management of International Development: Towards Agenda 2030,Università Bocconi,https://www.coursera.org/learn/towards-agenda-2030,,4.8,Mixed,2.6k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/5f/3edfc7d5e546608b8ad75deabd79e1/man-holding-planet-earth-in-his-hands-V42AXNZ.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF,Management of International Development: Towards Agenda 2030 by Università Bocconi
10,"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,https://www.coursera.org/learn/competencias-lab,,4.4,Intermediate,36k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/64/e117e0038011e793615d89d729766f/competencias-Coursera.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,"Competencias Laborales: Perfiles, Evaluación y Capacitación. by Universidad de Chile"
11,Researcher Management and Leadership Training,University of Colorado System,https://www.coursera.org/learn/researcher-management-leadership-training,,4.9,Intermediate,8.6k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f0/48c039c6d44e9d891ad89dc4b18487/Logo-and-Title-Slide-Coursera.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Researcher Management and Leadership Training by University of Colorado System
12,Planning and Organizing for Supervisors,Institute of Certified Professional Managers,https://www.coursera.org/learn/planning-organizing-supervisors,,4.8,Beginner,4.8k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2c/30521b0ec64e7ca5d66cb23b043f36/CS-Module-3-Coursera-Promo.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Planning and Organizing for Supervisors by Institute of Certified Professional Managers
13,Building a Data Science Team,Johns Hopkins University,https://www.coursera.org/learn/build-data-science-team,,4.5,Mixed,43k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/df/d28dd045ea11e58738b93f7fb6a31b/2959253587_05102df8df_o.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Building a Data Science Team by Johns Hopkins University
14,Fundamentos de la gestión del talento humano,UBITS,https://www.coursera.org/learn/fundamentos-de-la-gestion-del-talento-humano,,4.8,Beginner,3.2k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ee/304b2b716641e5b9ad4dbca3c6adaa/Fundamentos-de-la-Gestion-del-Talento-Humano1.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25,Fundamentos de la gestión del talento humano by UBITS
15,Building a Hiring Plan by Analyzing Past Data in Sheets,Coursera Project Network,https://www.coursera.org/projects/building-a-hiring-plan-with-people-analysis,,4.7,Beginner,1.6k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/74/8fe07d55f940e89ebc0bb6fafc5002/Data-set-1.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
16,Sales Force Management,West Virginia University,https://www.coursera.org/learn/sales-force-management,,4.6,Mixed,6.6k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/42/c19dd089d311e8a58cef1971147175/Course2Logo.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=150&h=150,Placeholder
